Family	10A	10B	10C	10D	10F	11A	11B	11C	11D	11F	12A	12B	12C	12D	12F	13A	13C	13D	13F	14A	14B	14C	14D	14F	15A	15B	15C	15D	16A	16B	16C	16D	16F	18A	18B	18C	18D	18F	19A	19B	19C	19D	20A	20B	20C	20D	20F	21A	21B	21C	21F	22A	22B	22C	22D	22F	23A	23B	23C	23D	23F	24A1	24A2	24B	24D	24F	25A	25B	25C	25F	26A	26B	26C	26D	26F	27A	27B	27C	27D	28A	28B	28C	28D	28F	29A	29C	29D1	29D2	30A	30B	30C	30D	30F	31A	31B	31C	31D	31F	32A	32B	32C	32D1	32D2	32F	33A	33B	33C	33D	33F	34A	34B	34C	34D	35A	35B	35C	35D	3A	3B	3C	3D	3F	4A	4B	4C	4D	4F	6A	6B	6C	6D	6F	7A	7B	7C	7D
Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	2	3	0	0	0	0	0	26	5	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	1	176	0	0	3	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	3	0	0	0	0	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	63	99	9	121	6	1434	460	357	1252	84	21	31	68	531	33	173	71	60	6	14	12	63	6	21	1171	9	18	176	1003	22	10	543	16	11	31	47	128	19	44	511	170	1875	2460	7746	53	132	37	2974	14323	194	42	466	168	275	1599	1	177	183	75	597	25	211	70	105	132	14	366	9	17	136	450	23	2	109	16	853	1422	11	465	30	76	16	28	27	247	3	173	50	44	176	1	111	12	2	76	11	85	28	99	66	10	47	247	14	3391	785	30	273	4	124	189	3	2	29	1219	8	55	8014	2420	27	1638	4101	13578	10615	9369	9658	65	30	32	47	19	45	5	360	143	585
Bacteria;Firmicutes;Bacilli;Lactobacillales;Vagococcaceae	0	0	0	0	0	0	0	60	0	0	0	14	14	22	14	1789	8	0	60	39	206	25	23	5	260	5	6	46	0	0	0	0	0	32	83	0	9	0	0	3	0	0	0	14	2	0	0	8	44	0	0	563	498	135	1397	34	103	54	1	0	12	184	48	40	0	12	0	0	226	1559	62	0	43	12	234	353	4	0	0	38	49	9	587	0	1128	2	515	275	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	86	0	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae	1031	1428	48	633	2	25823	139	75	8	6	0	12	1	0	1	5	32	65	11	0	0	2	0	5	1	3	28	0	29	245	47	278	7	16	0	29	18	0	0	8	0	0	5	41	128	28	0	129	103	30	0	803	70	54	54	6	161	80	82	1111	63	33	132	40	260	0	115	30	72	14	100	204	84	3871	2	69	29	102	528	99	49	26	289	0	163	10	658	807	5	14	289	4526	6	2294	73	19	508	0	0	125	129	34	15	7	0	8	212	39	1	13	65	13940	497	108	0	16	453	406	102	2	1353	14	19	7	13	9	11	85	74	8	55	0	6971	16	34	0
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;RF39;?	0	121	56	0	156	0	18	28	22	43	0	9	10	0	34	0	25	33	98	0	0	60	0	33	0	0	0	0	0	173	86	11	7	0	0	0	0	0	36	2	0	54	0	0	0	0	0	0	0	69	0	15	21	0	0	35	68	38	0	115	25	8	27	2	54	7	0	0	4	10	11	3	66	0	301	85	0	5	0	2	0	8	0	1	8	297	0	15	0	3	7	3	165	0	43	24	0	2	2	1	2	1	13	67	0	2	49	6	145	8	0	0	0	9	11	267	0	1	10	38	33	26	0	0	0	0	18	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;RF39;gut metagenome	0	0	0	0	11	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	45	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;RF39;metagenome	0	0	2	0	13	0	0	1	0	4	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;RF39;uncultured Firmicutes bacterium	0	0	22	0	25	0	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;RF39;uncultured rumen bacterium	0	360	371	0	1107	1	15	2	0	23	0	2	13	0	2	2	0	0	99	0	0	25	0	20	0	0	0	0	0	136	55	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	62	0	50	1	12	0	22	0	1	8	0	5	13	0	3	0	3	0	0	10	5	0	0	15	0	29	0	0	3	0	0	0	0	0	0	27	152	73	0	0	5	0	40	48	0	81	26	0	1	0	0	80	0	11	965	36	0	132	7	386	0	0	0	0	2	0	834	0	0	0	5	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0
