Phylum	10A	10B	10C	10D	10F	11A	11B	11C	11D	11F	12A	12B	12C	12D	12F	13A	13C	13D	13F	14A	14B	14C	14D	14F	15A	15B	15C	15D	16A	16B	16C	16D	16F	18A	18B	18C	18D	18F	19A	19B	19C	19D	20A	20B	20C	20D	20F	21A	21B	21C	21F	22A	22B	22C	22D	22F	23A	23B	23C	23D	23F	24A1	24A2	24B	24D	24F	25A	25B	25C	25F	26A	26B	26C	26D	26F	27A	27B	27C	27D	28A	28B	28C	28D	28F	29A	29C	29D1	29D2	30A	30B	30C	30D	30F	31A	31B	31C	31D	31F	32A	32B	32C	32D1	32D2	32F	33A	33B	33C	33D	33F	34A	34B	34C	34D	35A	35B	35C	35D	3A	3B	3C	3D	3F	4A	4B	4C	4D	4F	6A	6B	6C	6D	6F	7A	7B	7C	7D
Bacteria;Cyanobacteria	0	58	48	0	22	23	5	140	33	101	3	35	14	7	58	1	74	256	23	0	1	1	0	38	0	0	0	0	0	161	50	17	71	0	0	0	0	0	616	2	0	786	0	0	90	2	162	6	13	77	1	1189	0	33	294	21	31	6	78	668	9	158	73	24	34	17	23	679	254	0	0	6	90	0	91	0	0	25	203	24	0	210	2	5	11	170	82	129	2	15	78	10	41	72	47	1	0	5	57	8	11	175	204	63	0	10	523	18	892	21	2	4	54	33	3	73	379	0	0	6	0	30	0	0	4	0	163	0	6	17	1	1	16	0	0	0
Bacteria;Dadabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Deferribacterota	0	0	0	0	0	45	1	0	0	0	0	15	14	0	5	0	42	0	5	0	0	1	0	0	0	0	0	0	0	72	64	0	3	0	0	0	0	0	3	0	0	0	10	0	0	8	6	2	0	1	5	0	0	0	0	6	1	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	3	6	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	1	0	0	27	0	0	4	0	0	6	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	16	0	1	0	0	63	1	8	0	0	0	0
Bacteria;Deinococcota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Desulfobacterota	0	345	375	0	805	64	192	787	144	158	30	2260	788	1307	863	15	7132	450	303	18	49	2238	227	2465	155	1739	100	87	41	598	1383	349	497	1531	969	1500	1414	5131	0	17	3972	398	3649	2095	3248	1500	5850	1915	4	2007	2768	710	0	4	1	873	949	0	170	413	48	5221	937	87	8671	842	170	41	258	41	0	0	3349	197	1736	0	1	9698	0	120	41	601	0	839	8	1569	38	0	240	210	403	174	371	4	1076	133	2	3996	0	3	2438	0	24	545	161	76	3115	214	2854	0	17	2	0	230	0	1493	728	125	334	541	315	183	497	488	959	416	2401	60	1268	3571	960	2575	157	2	0	0
Bacteria;Elusimicrobiota	0	0	7	0	2	1	12	0	0	0	0	0	0	0	10	0	6	0	19	0	0	2	0	8	0	0	0	0	0	122	179	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	199	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	150	0	0	0	25	0	0	0	0	0	0	0	0	31	0	6	0	52	0	0	0	0	0	0	0	0	10	0	0	106	0	67	0	0	0	0	3	0	218	0	0	0	0	0	0	0	0	19	0	968	0	0	0	0	0	0	0	0	0
Bacteria;Entotheonellaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Fibrobacteres	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Fibrobacterota	0	72	50	0	23	0	6	73	107	39	0	3	10	0	45	34	52	0	9	0	0	167	0	119	0	0	0	0	0	28	45	0	19	0	0	0	0	0	20	0	0	0	0	1	68	0	927	3	2	5	0	0	2	49	8	7	0	13	0	0	71	3	5	0	0	37	6	0	5	21	0	0	3	0	58	0	1	4	0	0	0	0	1	0	0	64	1	0	0	0	0	1	2	4	0	14	0	1	26	0	27	0	37	38	0	0	3	0	1	0	0	0	0	2	0	45	0	0	0	6	0	0	0	0	0	0	24	0	0	0	0	0	49	0	0	0
Bacteria;Firmicutes	57500	73598	98345	118405	128359	32829	95363	89148	175850	87587	2714	109563	42570	26796	85667	108639	80373	23179	83945	105123	100407	99639	51920	90459	37297	20077	20243	25469	13373	73045	80550	19849	51257	6074	10933	10398	19598	7354	140031	91129	7497	84896	34260	55484	80227	4890	84913	32902	83502	108665	39854	66731	46138	217203	166587	60549	7803	134838	46381	25020	93820	116257	52942	46285	8911	69752	80713	1626	42489	98826	48694	11728	67766	11559	124243	75833	55283	78532	7122	1351	13488	23012	101714	56506	47819	83445	46378	7543	8278	29437	9391	42330	81998	6586	67957	11143	31344	41889	119726	77914	134589	76274	113789	115709	92583	40570	78183	13020	66079	84205	12311	14940	21481	8274	120012	73903	14512	94954	116509	50394	33351	150051	17410	15580	19813	20361	89396	5810	7382	32560	6268	38928	25051	138032	13653	76761
Bacteria;Fusobacteria	1921	501	578	4431	199	15	358	173	230	80	1	16	47	601	38	399	287	1286	473	8	1	555	24	1201	2281	43	5	351	338	184	158	81	225	29	21	19	288	185	191	317	629	431	552	460	863	97	217	182	443	156	353	72	115	221	21	252	17	174	14	403	617	151	128	126	72	208	81	59	713	490	182	0	333	494	45	1100	2047	530	64	0	32	163	4676	71	93	92	0	0	188	403	34	144	83	39	452	136	368	438	139	48	476	23	79	61	3000	497	130	144	30	60	206	5	0	47	1869	540	146	1335	304	1881	193	1139	50	49	37	73	349	6	635	596	178	349	77	2204	23	2973
Bacteria;Fusobacteriota	5	1521	1858	116	1470	224	323	546	226	725	5397	6539	4406	105282	6531	1400	9511	1756	3521	9116	2520	2246	34401	6418	55068	12201	45719	16251	1226	816	2607	4523	6767	27192	32066	48563	76350	33780	257	37	621	2864	46286	26460	10020	20449	15981	44288	594	798	36327	1617	676	1085	595	4516	73	328	5247	995	2163	349	135	241	0	639	438	11	1591	1492	149	21	486	380	2254	2143	2635	6348	17	33	106	213	54	184	877	552	2317	217	50	126	443	2756	262	489	849	112	226	36053	165	62	598	976	1198	1012	55	678	585	974	370	228	521	30	183	2243	28	440	857	9322	432	290	70614	1527	7301	12869	8107	7472	10559	117258	64850	63191	75976	60606	7720	6	1424	72
Bacteria;Gemmatimonadota	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	95	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
