Species	10A	10B	10C	10D	10F	11A	11B	11C	11D	11F	12A	12B	12C	12D	12F	13A	13C	13D	13F	14A	14B	14C	14D	14F	15A	15B	15C	15D	16A	16B	16C	16D	16F	18A	18B	18C	18D	18F	19A	19B	19C	19D	20A	20B	20C	20D	20F	21A	21B	21C	21F	22A	22B	22C	22D	22F	23A	23B	23C	23D	23F	24A1	24A2	24B	24D	24F	25A	25B	25C	25F	26A	26B	26C	26D	26F	27A	27B	27C	27D	28A	28B	28C	28D	28F	29A	29C	29D1	29D2	30A	30B	30C	30D	30F	31A	31B	31C	31D	31F	32A	32B	32C	32D1	32D2	32F	33A	33B	33C	33D	33F	34A	34B	34C	34D	35A	35B	35C	35D	3A	3B	3C	3D	3F	4A	4B	4C	4D	4F	6A	6B	6C	6D	6F	7A	7B	7C	7D
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group;[Eubacterium] hallii	0	0	0	0	12	0	13	19	29	2	0	1	1	0	0	25	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	26	1	0	1	0	0	2	0	7	0	3	0	1	0	0	64	15	4	0	68	0	0	21	9	8	2	0	20	8	0	5	18	0	2	7	0	31	1	1	2	0	0	0	0	0	1	5	0	1	0	0	0	0	0	2	0	12	0	1	0	11	0	1	0	24	5	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	5	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group;?	0	0	106	0	123	28	41	534	42	2282	0	736	224	0	484	1	5642	0	3655	0	0	4480	0	5930	1	2	0	0	63	1773	2394	463	500	0	0	0	0	0	0	9	0	0	0	0	8	0	14	0	2	9026	0	470	0	13	48	2824	0	8	0	205	352	15	0	48	0	58	0	0	12	2	0	0	638	21	98	0	0	247	0	2	22	191	0	95	0	272	0	0	1	8	70	48	318	29	27	16	0	3	28	27	1541	0	27	1436	51	10	146	0	27	0	0	0	0	16	0	458	38	0	0	0	0	0	0	0	2	0	63	0	0	2	0	1	153	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ruminantium group;gut metagenome	0	583	315	0	217	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	13	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group;?	0	0	11	0	51	0	0	0	0	1	0	2	0	0	23	0	8	0	0	0	0	6	0	6	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	78	0	0	13	0	2	0	0	0	0	0	0	8	0	0	0	49	0	48	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group;?	0	3	11	0	10	0	38	11	52	112	0	2	1	0	1	153	15	19	36	0	1	11	0	0	0	5	6	3	3	30	18	0	15	0	0	0	0	2	99	63	0	13	0	0	6	1	5	1	0	34	1	2	12	5	0	17	0	15	0	1	176	1	4	24	0	268	2	2	14	103	5	1	5	0	47	2	17	19	4	0	2	1	1	320	4	3	32	1	2	42	0	19	31	0	52	5	65	9	87	26	50	28	221	73	9	42	14	1	47	13	16	1	0	7	13	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group;?	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;?;?	0	0	0	0	0	0	0	5	0	2	0	4	0	0	0	0	0	0	3	0	0	16	0	2	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	3	6	0	8	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	6	0	0	1	0	0	2	0	0	2	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	11	0	0	0	0
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;?	0	308	118	0	244	0	0	0	10	100	0	133	61	0	94	114	37	95	383	0	0	125	0	97	0	4	0	0	0	186	99	0	42	0	0	0	0	0	0	0	0	0	14	1	20	0	40	0	0	342	21	0	0	0	0	152	0	2	0	0	45	86	46	97	0	102	0	0	66	123	0	4	410	0	473	0	1	30	0	0	1	33	0	26	13	313	0	0	45	1	0	56	190	0	72	30	0	21	6	2	375	0	0	419	0	0	238	1	168	5	0	4	0	9	0	336	0	0	0	0	0	0	0	0	2	0	80	0	0	4	0	22	2	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;?;?;?	2	1178	2057	0	3259	92	78	473	116	2093	0	5075	2224	5	5407	999	4355	3	2833	19	7	3446	30	2603	5	165	10	0	30	2631	3771	4	1110	2	7	5	43	184	3	24	2	3	1850	987	848	161	1172	737	78	4424	1595	1	0	16	0	1557	2	52	53	322	232	17	3	359	92	1595	2	5	1156	887	158	46	2960	189	2810	141	8	1307	91	23	55	1986	0	1179	76	3805	253	31	34	142	278	574	3191	121	658	197	600	2221	244	30	6082	18	164	3518	262	27	3943	0	1904	47	7	0	0	168	226	2159	1	16	112	427	0	89	0	0	120	1	1373	0	34	1436	21	1619	87	189	155	39
Bacteria;Firmicutes;Clostridia;Oscillospirales;?;metagenome;?	0	0	0	0	0	0	0	0	0	2	0	32	18	0	13	0	7	0	14	0	0	21	0	29	0	18	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	13	13	9	0	30	5	0	11	31	0	0	0	0	13	0	0	0	0	5	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	2	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	59	0	0	9	0	0	12	0	0	5	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	4	22	0	56	0	0	0	0
