	#SampleID	Taxonomy	GROUP	Subgroup	Value	Total	RelativeAbundance
87	10B	Bacteria|p_WPS-2	OB-BPD/DS 	MAM-I	0	161661	0.0
88	10B	Eukaryota	OB-BPD/DS 	MAM-I	0	161661	0.0
90	10C	Archaea|p_Crenarchaeota	OB-BPD/DS 	MAMLI	0	169074	0.0
91	10C	Archaea|p_Euryarchaeota	OB-BPD/DS 	MAMLI	92	169074	0.0005441404355489313
92	10C	Archaea|p_Halobacterota	OB-BPD/DS 	MAMLI	0	169074	0.0
93	10C	Archaea|p_Thermoplasmatota	OB-BPD/DS 	MAMLI	67	169074	0.0003962761867584608
94	10C	Bacteria	OB-BPD/DS 	MAMLI	128	169074	0.0007570649538072087
95	10C	Bacteria|p_Acidobacteriota	OB-BPD/DS 	MAMLI	0	169074	0.0
96	10C	Bacteria|p_Actinobacteria	OB-BPD/DS 	MAMLI	27	169074	0.00015969338869370808
97	10C	Bacteria|p_Actinobacteriota	OB-BPD/DS 	MAMLI	1290	169074	0.0076297952375882746
98	10C	Bacteria|p_Bacteroidetes	OB-BPD/DS 	MAMLI	511	169074	0.0030223452452772157
99	10C	Bacteria|p_Bacteroidota	OB-BPD/DS 	MAMLI	35256	169074	0.20852407821427305
100	10C	Bacteria|p_Bdellovibrionota	OB-BPD/DS 	MAMLI	0	169074	0.0
101	10C	Bacteria|p_Caldatribacteriota	OB-BPD/DS 	MAMLI	0	169074	0.0
102	10C	Bacteria|p_Caldisericota	OB-BPD/DS 	MAMLI	0	169074	0.0
103	10C	Bacteria|p_Campylobacterota	OB-BPD/DS 	MAMLI	11503	169074	0.06803529815347126
104	10C	Bacteria|p_Chloroflexi	OB-BPD/DS 	MAMLI	0	169074	0.0
105	10C	Bacteria|p_Cloacimonadota	OB-BPD/DS 	MAMLI	0	169074	0.0
106	10C	Bacteria|p_Cyanobacteria	OB-BPD/DS 	MAMLI	48	169074	0.00028389935767770327
107	10C	Bacteria|p_Dadabacteria	OB-BPD/DS 	MAMLI	0	169074	0.0
108	10C	Bacteria|p_Deferribacterota	OB-BPD/DS 	MAMLI	0	169074	0.0
109	10C	Bacteria|p_Deinococcota	OB-BPD/DS 	MAMLI	0	169074	0.0
110	10C	Bacteria|p_Desulfobacterota	OB-BPD/DS 	MAMLI	375	169074	0.0022179637318570566
111	10C	Bacteria|p_Elusimicrobiota	OB-BPD/DS 	MAMLI	7	169074	4.1401989661331725e-05
112	10C	Bacteria|p_Entotheonellaeota	OB-BPD/DS 	MAMLI	0	169074	0.0
113	10C	Bacteria|p_Fibrobacteres	OB-BPD/DS 	MAMLI	0	169074	0.0
114	10C	Bacteria|p_Fibrobacterota	OB-BPD/DS 	MAMLI	50	169074	0.0002957284975809409
115	10C	Bacteria|p_Firmicutes	OB-BPD/DS 	MAMLI	98345	169074	0.5816683818919527
116	10C	Bacteria|p_Fusobacteria	OB-BPD/DS 	MAMLI	578	169074	0.0034186214320356765
117	10C	Bacteria|p_Fusobacteriota	OB-BPD/DS 	MAMLI	1858	169074	0.010989270970107764
118	10C	Bacteria|p_Gemmatimonadota	OB-BPD/DS 	MAMLI	0	169074	0.0
119	10C	Bacteria|p_Latescibacterota	OB-BPD/DS 	MAMLI	0	169074	0.0
120	10C	Bacteria|p_Methylomirabilota	OB-BPD/DS 	MAMLI	0	169074	0.0
121	10C	Bacteria|p_Myxococcota	OB-BPD/DS 	MAMLI	0	169074	0.0
122	10C	Bacteria|p_NB1-j	OB-BPD/DS 	MAMLI	0	169074	0.0
123	10C	Bacteria|p_Nitrospirota	OB-BPD/DS 	MAMLI	0	169074	0.0
124	10C	Bacteria|p_Patescibacteria	OB-BPD/DS 	MAMLI	15583	169074	0.09216674355607604
125	10C	Bacteria|p_Planctomycetota	OB-BPD/DS 	MAMLI	0	169074	0.0
126	10C	Bacteria|p_Proteobacteria	OB-BPD/DS 	MAMLI	2563	169074	0.01515904278599903
127	10C	Bacteria|p_Spirochaetota	OB-BPD/DS 	MAMLI	416	169074	0.0024604610998734283
128	10C	Bacteria|p_Synergistota	OB-BPD/DS 	MAMLI	15	169074	8.871854927428227e-05
129	10C	Bacteria|p_Tenericutes	OB-BPD/DS 	MAMLI	0	169074	0.0
130	10C	Bacteria|p_Verrucomicrobia	OB-BPD/DS 	MAMLI	0	169074	0.0
131	10C	Bacteria|p_Verrucomicrobiota	OB-BPD/DS 	MAMLI	39	169074	0.00023066822811313389
132	10C	Bacteria|p_WPS-2	OB-BPD/DS 	MAMLI	0	169074	0.0
133	10C	Eukaryota	OB-BPD/DS 	MAMLI	0	169074	0.0
135	10D	Archaea|p_Crenarchaeota	OB-BPD/DS 	MAM-D	0	174787	0.0
136	10D	Archaea|p_Euryarchaeota	OB-BPD/DS 	MAM-D	0	174787	0.0
137	10D	Archaea|p_Halobacterota	OB-BPD/DS 	MAM-D	0	174787	0.0
138	10D	Archaea|p_Thermoplasmatota	OB-BPD/DS 	MAM-D	0	174787	0.0
139	10D	Bacteria	OB-BPD/DS 	MAM-D	7	174787	4.00487450439678e-05
140	10D	Bacteria|p_Acidobacteriota	OB-BPD/DS 	MAM-D	0	174787	0.0
141	10D	Bacteria|p_Actinobacteria	OB-BPD/DS 	MAM-D	582	174787	0.003329767087941323
142	10D	Bacteria|p_Actinobacteriota	OB-BPD/DS 	MAM-D	2039	174787	0.01166562730637862
143	10D	Bacteria|p_Bacteroidetes	OB-BPD/DS 	MAM-D	0	174787	0.0
144	10D	Bacteria|p_Bacteroidota	OB-BPD/DS 	MAM-D	84	174787	0.00048058494052761363
145	10D	Bacteria|p_Bdellovibrionota	OB-BPD/DS 	MAM-D	0	174787	0.0
146	10D	Bacteria|p_Caldatribacteriota	OB-BPD/DS 	MAM-D	0	174787	0.0
147	10D	Bacteria|p_Caldisericota	OB-BPD/DS 	MAM-D	0	174787	0.0
148	10D	Bacteria|p_Campylobacterota	OB-BPD/DS 	MAM-D	7346	174787	0.04202829729899821
149	10D	Bacteria|p_Chloroflexi	OB-BPD/DS 	MAM-D	0	174787	0.0
150	10D	Bacteria|p_Cloacimonadota	OB-BPD/DS 	MAM-D	0	174787	0.0
151	10D	Bacteria|p_Cyanobacteria	OB-BPD/DS 	MAM-D	0	174787	0.0
152	10D	Bacteria|p_Dadabacteria	OB-BPD/DS 	MAM-D	0	174787	0.0
153	10D	Bacteria|p_Deferribacterota	OB-BPD/DS 	MAM-D	0	174787	0.0
154	10D	Bacteria|p_Deinococcota	OB-BPD/DS 	MAM-D	0	174787	0.0
155	10D	Bacteria|p_Desulfobacterota	OB-BPD/DS 	MAM-D	0	174787	0.0
156	10D	Bacteria|p_Elusimicrobiota	OB-BPD/DS 	MAM-D	0	174787	0.0
157	10D	Bacteria|p_Entotheonellaeota	OB-BPD/DS 	MAM-D	0	174787	0.0
158	10D	Bacteria|p_Fibrobacteres	OB-BPD/DS 	MAM-D	0	174787	0.0
159	10D	Bacteria|p_Fibrobacterota	OB-BPD/DS 	MAM-D	0	174787	0.0
160	10D	Bacteria|p_Firmicutes	OB-BPD/DS 	MAM-D	118405	174787	0.6774245224187153
161	10D	Bacteria|p_Fusobacteria	OB-BPD/DS 	MAM-D	4431	174787	0.025350855612831617
162	10D	Bacteria|p_Fusobacteriota	OB-BPD/DS 	MAM-D	116	174787	0.0006636649178714664
163	10D	Bacteria|p_Gemmatimonadota	OB-BPD/DS 	MAM-D	0	174787	0.0
164	10D	Bacteria|p_Latescibacterota	OB-BPD/DS 	MAM-D	0	174787	0.0
165	10D	Bacteria|p_Methylomirabilota	OB-BPD/DS 	MAM-D	0	174787	0.0
166	10D	Bacteria|p_Myxococcota	OB-BPD/DS 	MAM-D	0	174787	0.0
167	10D	Bacteria|p_NB1-j	OB-BPD/DS 	MAM-D	0	174787	0.0
168	10D	Bacteria|p_Nitrospirota	OB-BPD/DS 	MAM-D	0	174787	0.0
169	10D	Bacteria|p_Patescibacteria	OB-BPD/DS 	MAM-D	19	174787	0.0001087037365479126
170	10D	Bacteria|p_Planctomycetota	OB-BPD/DS 	MAM-D	0	174787	0.0
171	10D	Bacteria|p_Proteobacteria	OB-BPD/DS 	MAM-D	34825	174787	0.19924250659373982
172	10D	Bacteria|p_Spirochaetota	OB-BPD/DS 	MAM-D	0	174787	0.0
173	10D	Bacteria|p_Synergistota	OB-BPD/DS 	MAM-D	0	174787	0.0
174	10D	Bacteria|p_Tenericutes	OB-BPD/DS 	MAM-D	0	174787	0.0
175	10D	Bacteria|p_Verrucomicrobia	OB-BPD/DS 	MAM-D	0	174787	0.0
176	10D	Bacteria|p_Verrucomicrobiota	OB-BPD/DS 	MAM-D	0	174787	0.0
177	10D	Bacteria|p_WPS-2	OB-BPD/DS 	MAM-D	0	174787	0.0
178	10D	Eukaryota	OB-BPD/DS 	MAM-D	0	174787	0.0
180	10F	Archaea|p_Crenarchaeota	OB-BPD/DS 	Fecal	0	161374	0.0
181	10F	Archaea|p_Euryarchaeota	OB-BPD/DS 	Fecal	448	161374	0.0027761597283329407
182	10F	Archaea|p_Halobacterota	OB-BPD/DS 	Fecal	0	161374	0.0
183	10F	Archaea|p_Thermoplasmatota	OB-BPD/DS 	Fecal	2	161374	1.2393570215772057e-05
184	10F	Bacteria	OB-BPD/DS 	Fecal	59	161374	0.0003656103213652757
185	10F	Bacteria|p_Acidobacteriota	OB-BPD/DS 	Fecal	0	161374	0.0
186	10F	Bacteria|p_Actinobacteria	OB-BPD/DS 	Fecal	54	161374	0.00033462639582584555
187	10F	Bacteria|p_Actinobacteriota	OB-BPD/DS 	Fecal	1754	161374	0.010869161079232094
188	10F	Bacteria|p_Bacteroidetes	OB-BPD/DS 	Fecal	1264	161374	0.00783273637636794
189	10F	Bacteria|p_Bacteroidota	OB-BPD/DS 	Fecal	18060	161374	0.11191393904842167
190	10F	Bacteria|p_Bdellovibrionota	OB-BPD/DS 	Fecal	0	161374	0.0
191	10F	Bacteria|p_Caldatribacteriota	OB-BPD/DS 	Fecal	0	161374	0.0
192	10F	Bacteria|p_Caldisericota	OB-BPD/DS 	Fecal	0	161374	0.0
193	10F	Bacteria|p_Campylobacterota	OB-BPD/DS 	Fecal	1214	161374	0.007522897120973639
194	10F	Bacteria|p_Chloroflexi	OB-BPD/DS 	Fecal	0	161374	0.0
195	10F	Bacteria|p_Cloacimonadota	OB-BPD/DS 	Fecal	0	161374	0.0
196	10F	Bacteria|p_Cyanobacteria	OB-BPD/DS 	Fecal	22	161374	0.00013632927237349263
197	10F	Bacteria|p_Dadabacteria	OB-BPD/DS 	Fecal	0	161374	0.0
198	10F	Bacteria|p_Deferribacterota	OB-BPD/DS 	Fecal	0	161374	0.0
199	10F	Bacteria|p_Deinococcota	OB-BPD/DS 	Fecal	0	161374	0.0
200	10F	Bacteria|p_Desulfobacterota	OB-BPD/DS 	Fecal	805	161374	0.0049884120118482535
201	10F	Bacteria|p_Elusimicrobiota	OB-BPD/DS 	Fecal	2	161374	1.2393570215772057e-05
202	10F	Bacteria|p_Entotheonellaeota	OB-BPD/DS 	Fecal	0	161374	0.0
203	10F	Bacteria|p_Fibrobacteres	OB-BPD/DS 	Fecal	0	161374	0.0
204	10F	Bacteria|p_Fibrobacterota	OB-BPD/DS 	Fecal	23	161374	0.00014252605748137865
205	10F	Bacteria|p_Firmicutes	OB-BPD/DS 	Fecal	128359	161374	0.7954131396631428
206	10F	Bacteria|p_Fusobacteria	OB-BPD/DS 	Fecal	199	161374	0.0012331602364693197
207	10F	Bacteria|p_Fusobacteriota	OB-BPD/DS 	Fecal	1470	161374	0.009109274108592462
208	10F	Bacteria|p_Gemmatimonadota	OB-BPD/DS 	Fecal	0	161374	0.0
209	10F	Bacteria|p_Latescibacterota	OB-BPD/DS 	Fecal	0	161374	0.0
210	10F	Bacteria|p_Methylomirabilota	OB-BPD/DS 	Fecal	0	161374	0.0
211	10F	Bacteria|p_Myxococcota	OB-BPD/DS 	Fecal	0	161374	0.0
212	10F	Bacteria|p_NB1-j	OB-BPD/DS 	Fecal	0	161374	0.0
213	10F	Bacteria|p_Nitrospirota	OB-BPD/DS 	Fecal	0	161374	0.0
214	10F	Bacteria|p_Patescibacteria	OB-BPD/DS 	Fecal	5475	161374	0.03392739846567601
215	10F	Bacteria|p_Planctomycetota	OB-BPD/DS 	Fecal	0	161374	0.0
216	10F	Bacteria|p_Proteobacteria	OB-BPD/DS 	Fecal	2010	161374	0.012455538066850918
217	10F	Bacteria|p_Spirochaetota	OB-BPD/DS 	Fecal	133	161374	0.0008241724193488419
218	10F	Bacteria|p_Synergistota	OB-BPD/DS 	Fecal	2	161374	1.2393570215772057e-05
219	10F	Bacteria|p_Tenericutes	OB-BPD/DS 	Fecal	0	161374	0.0
220	10F	Bacteria|p_Verrucomicrobia	OB-BPD/DS 	Fecal	0	161374	0.0
221	10F	Bacteria|p_Verrucomicrobiota	OB-BPD/DS 	Fecal	19	161374	0.00011773891704983455
222	10F	Bacteria|p_WPS-2	OB-BPD/DS 	Fecal	0	161374	0.0
223	10F	Eukaryota	OB-BPD/DS 	Fecal	0	161374	0.0
225	11A	Archaea|p_Crenarchaeota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
226	11A	Archaea|p_Euryarchaeota	CHJ-BPD/DS+	MAM-J	10	188174	5.314230446289073e-05
227	11A	Archaea|p_Halobacterota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
228	11A	Archaea|p_Thermoplasmatota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
229	11A	Bacteria	CHJ-BPD/DS+	MAM-J	47	188174	0.00024976883097558645
230	11A	Bacteria|p_Acidobacteriota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
231	11A	Bacteria|p_Actinobacteria	CHJ-BPD/DS+	MAM-J	120	188174	0.0006377076535546887
232	11A	Bacteria|p_Actinobacteriota	CHJ-BPD/DS+	MAM-J	1111	188174	0.00590411002582716
233	11A	Bacteria|p_Bacteroidetes	CHJ-BPD/DS+	MAM-J	20	188174	0.00010628460892578146
234	11A	Bacteria|p_Bacteroidota	CHJ-BPD/DS+	MAM-J	2247	188174	0.011941075812811546
235	11A	Bacteria|p_Bdellovibrionota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
236	11A	Bacteria|p_Caldatribacteriota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
237	11A	Bacteria|p_Caldisericota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
238	11A	Bacteria|p_Campylobacterota	CHJ-BPD/DS+	MAM-J	133399	188174	0.708913027304516
239	11A	Bacteria|p_Chloroflexi	CHJ-BPD/DS+	MAM-J	0	188174	0.0
240	11A	Bacteria|p_Cloacimonadota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
241	11A	Bacteria|p_Cyanobacteria	CHJ-BPD/DS+	MAM-J	23	188174	0.00012222730026464868
242	11A	Bacteria|p_Dadabacteria	CHJ-BPD/DS+	MAM-J	0	188174	0.0
243	11A	Bacteria|p_Deferribacterota	CHJ-BPD/DS+	MAM-J	45	188174	0.00023914037008300828
244	11A	Bacteria|p_Deinococcota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
245	11A	Bacteria|p_Desulfobacterota	CHJ-BPD/DS+	MAM-J	64	188174	0.0003401107485625007
246	11A	Bacteria|p_Elusimicrobiota	CHJ-BPD/DS+	MAM-J	1	188174	5.314230446289073e-06
247	11A	Bacteria|p_Entotheonellaeota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
248	11A	Bacteria|p_Fibrobacteres	CHJ-BPD/DS+	MAM-J	0	188174	0.0
249	11A	Bacteria|p_Fibrobacterota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
250	11A	Bacteria|p_Firmicutes	CHJ-BPD/DS+	MAM-J	32829	188174	0.17446087132122398
251	11A	Bacteria|p_Fusobacteria	CHJ-BPD/DS+	MAM-J	15	188174	7.971345669433609e-05
252	11A	Bacteria|p_Fusobacteriota	CHJ-BPD/DS+	MAM-J	224	188174	0.0011903876199687523
253	11A	Bacteria|p_Gemmatimonadota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
254	11A	Bacteria|p_Latescibacterota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
255	11A	Bacteria|p_Methylomirabilota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
256	11A	Bacteria|p_Myxococcota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
257	11A	Bacteria|p_NB1-j	CHJ-BPD/DS+	MAM-J	0	188174	0.0
258	11A	Bacteria|p_Nitrospirota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
259	11A	Bacteria|p_Patescibacteria	CHJ-BPD/DS+	MAM-J	802	188174	0.004262012817923836
260	11A	Bacteria|p_Planctomycetota	CHJ-BPD/DS+	MAM-J	19	188174	0.00010097037847949238
261	11A	Bacteria|p_Proteobacteria	CHJ-BPD/DS+	MAM-J	2858	188174	0.015188070615494171
262	11A	Bacteria|p_Spirochaetota	CHJ-BPD/DS+	MAM-J	9538	188174	0.050687129996705174
263	11A	Bacteria|p_Synergistota	CHJ-BPD/DS+	MAM-J	0	188174	0.0
264	11A	Bacteria|p_Tenericutes	CHJ-BPD/DS+	MAM-J	0	188174	0.0
265	11A	Bacteria|p_Verrucomicrobia	CHJ-BPD/DS+	MAM-J	0	188174	0.0
266	11A	Bacteria|p_Verrucomicrobiota	CHJ-BPD/DS+	MAM-J	15	188174	7.971345669433609e-05
267	11A	Bacteria|p_WPS-2	CHJ-BPD/DS+	MAM-J	10	188174	5.314230446289073e-05
268	11A	Eukaryota	CHJ-BPD/DS+	MAM-J	2	188174	1.0628460892578147e-05
270	11B	Archaea|p_Crenarchaeota	CHJ-BPD/DS+	MAM-I	0	171912	0.0
271	11B	Archaea|p_Euryarchaeota	CHJ-BPD/DS+	MAM-I	954	171912	0.005549350830657546
272	11B	Archaea|p_Halobacterota	CHJ-BPD/DS+	MAM-I	0	171912	0.0
273	11B	Archaea|p_Thermoplasmatota	CHJ-BPD/DS+	MAM-I	0	171912	0.0
274	11B	Bacteria	CHJ-BPD/DS+	MAM-I	207	171912	0.0012041044255200336
275	11B	Bacteria|p_Acidobacteriota	CHJ-BPD/DS+	MAM-I	0	171912	0.0
276	11B	Bacteria|p_Actinobacteria	CHJ-BPD/DS+	MAM-I	324	171912	0.0018846851877704872
277	11B	Bacteria|p_Actinobacteriota	CHJ-BPD/DS+	MAM-I	7181	171912	0.041771371399320585
278	11B	Bacteria|p_Bacteroidetes	CHJ-BPD/DS+	MAM-I	72	171912	0.00041881893061566385
279	11B	Bacteria|p_Bacteroidota	CHJ-BPD/DS+	MAM-I	3519	171912	0.02046977523384057
280	11B	Bacteria|p_Bdellovibrionota	CHJ-BPD/DS+	MAM-I	0	171912	0.0
281	11B	Bacteria|p_Caldatribacteriota	CHJ-BPD/DS+	MAM-I	0	171912	0.0
282	11B	Bacteria|p_Caldisericota	CHJ-BPD/DS+	MAM-I	0	171912	0.0
283	11B	Bacteria|p_Campylobacterota	CHJ-BPD/DS+	MAM-I	13799	171912	0.08026781143841034
284	11B	Bacteria|p_Chloroflexi	CHJ-BPD/DS+	MAM-I	0	171912	0.0
285	11B	Bacteria|p_Cloacimonadota	CHJ-BPD/DS+	MAM-I	0	171912	0.0
